"Timestamp","Then I would"
"2020/12/01 8:35:08 AM CST","go get ice cream"
"2020/12/04 12:24:21 AM CST","Turn into a monkey "
"2020/12/04 12:24:36 AM CST","Pee my pants "
"2020/12/04 12:24:49 AM CST","Go crazy"
"2020/12/04 12:24:58 AM CST","Have a party"
"2020/12/04 12:25:07 AM CST","Eat cake"
"2020/12/04 12:25:21 AM CST","Take off my mask"
"2020/12/04 12:25:38 AM CST","Find Santa Claus "
"2020/12/04 12:25:46 AM CST","Read a book"
"2020/12/04 12:26:07 AM CST","Fart "
"2020/12/04 12:26:26 AM CST","Run around in my underwear "
"2020/12/04 12:26:42 AM CST","Go swimming "
"2020/12/04 12:26:59 AM CST","Sing karaoke "
"2020/12/04 12:27:30 AM CST","Go viral"
"2020/12/19 6:09:50 PM CST","jump in a lake"
"2020/12/19 6:09:59 PM CST","cry myself to sleep"
"2020/12/19 6:10:09 PM CST","eat all the chocolate I could find"
"2020/12/19 6:10:16 PM CST","move to Mexico"
"2020/12/19 6:10:23 PM CST","put on a sweater"
"2020/12/19 6:10:29 PM CST","buy a house"
"2020/12/19 6:10:39 PM CST","draw pictures of animals"
"2020/12/19 6:10:45 PM CST","fly to the moon"
"2020/12/19 6:10:53 PM CST","watch more TV"
"2020/12/19 6:11:08 PM CST","retire in style and comfort"
"2020/12/19 6:11:22 PM CST","finally get around to returning my library books"
"2020/12/22 2:44:32 PM CST","Alert the media"
"2020/12/22 2:44:57 PM CST","Go for a boat ride"
"2020/12/24 11:48:18 AM CST","cry"
"2020/12/24 11:48:24 AM CST","eat boogers"
"2020/12/24 11:48:33 AM CST","run around with my head off"
"2020/12/24 11:48:40 AM CST","tackle santa"
"2020/12/24 11:48:50 AM CST","play football with the president"
"2020/12/24 11:48:58 AM CST","crash the car into your house"
"2020/12/24 11:49:18 AM CST","play minecraft"
"2020/12/24 11:49:25 AM CST","build a tree house"
"2020/12/24 11:49:31 AM CST","dig to china"
"2020/12/24 11:49:41 AM CST","fart. loudly."
"2020/12/24 11:49:52 AM CST","point at you and laugh"
