"Timestamp","What would you do if..."
"2020/12/01 8:34:43 AM CST","Donald Trump showed up at your front door"
"2020/12/04 12:28:17 AM CST","I licked a pineapple "
"2020/12/19 9:03:18 PM CST","I stopped doing laundry"
"2020/12/19 9:03:32 PM CST","Aliens landed on your roof"
"2020/12/19 9:03:43 PM CST","Cell phones stopped working"
"2020/12/19 9:03:58 PM CST","Santa knocked on your door right now "
"2020/12/19 9:04:10 PM CST","Tacos were never invented "
"2020/12/19 9:05:05 PM CST","You broke your big toe"
"2020/12/19 9:05:17 PM CST","You were famous"
"2020/12/19 9:05:27 PM CST","You swallowed a slug"
"2020/12/22 2:46:02 PM CST","Found out there really were aliens"
"2020/12/22 2:46:25 PM CST","I spent all my money "
"2020/12/24 11:45:16 AM CST","you killed Santa accidentally"
"2020/12/24 11:45:30 AM CST","a train crashed through your house"
"2020/12/24 11:45:41 AM CST","your toilet overflowed"
"2020/12/24 11:45:50 AM CST","we didn't have water to drink anymore"
"2020/12/24 11:46:05 AM CST","you could only write with crayons for the rest of your life"
"2020/12/24 11:46:27 AM CST","your bank account was robbed"
"2020/12/24 11:46:35 AM CST","dogs could fly"
"2020/12/24 11:46:44 AM CST","santa was drunk"
"2020/12/24 11:46:53 AM CST","cookies tasted like broccoli"
"2020/12/24 11:47:05 AM CST","pants were for your head and hats were for your legs"
"2020/12/24 11:47:18 AM CST","you could only wear slippers for shoes"
"2020/12/24 11:47:28 AM CST","everything was cube shaped"
"2020/12/24 11:47:40 AM CST","the internet broke forever"
"2020/12/24 11:47:52 AM CST","you were really really really famous"
"2020/12/24 11:47:59 AM CST","you were super rich"
"2020/12/24 11:52:13 AM CST","ice cream was hot and all soups were cold"
"2020/12/24 11:52:21 AM CST","cars had square wheels"
"2020/12/24 11:52:35 AM CST","you could fly high in the sky to the moon"
"2020/12/24 11:52:51 AM CST","squirrels could sing to you "
"2020/12/24 11:53:02 AM CST","squirrels could ring your doorbell"
"2020/12/24 11:53:11 AM CST","winter was hot and summer was cold"
"2020/12/24 11:53:19 AM CST","elves were real"
"2020/12/24 11:53:34 AM CST","everyone carried a BIG gun"
"2020/12/24 11:53:50 AM CST","your cat learned how to speak Spanish"
"2020/12/24 11:54:01 AM CST","squirrels could burrow undergound"
"2020/12/24 11:54:08 AM CST","water was dry"
"2020/12/24 11:54:32 AM CST","santa was your pilot"
"2020/12/24 11:54:54 AM CST","your mom stopped typing in the word drunk when you told her to"
"2020/12/24 11:55:21 AM CST","a turtle licked you"
"2020/12/24 11:55:34 AM CST","a goat was your neighbor and had a trash house"
"2020/12/24 11:55:42 AM CST","your forgot your own name"
"2020/12/24 11:55:50 AM CST","your sister was weird"
"2020/12/24 11:56:03 AM CST","your mother had a new baby"
"2020/12/24 12:35:05 PM CST","You had to eat liver and onions?"
"2020/12/24 12:36:11 PM CST","You were picked to live on the Planet Mars?"
"2020/12/24 11:11:54 PM CST","Rain drops were made out of chocolate milk "
"2020/12/24 11:13:03 PM CST","Money grew on trees"
"2020/12/24 11:13:35 PM CST","Bubu woke up as a woman"
"2020/12/24 11:14:05 PM CST","Aunt Amanda was rich and famous "
"2020/12/24 11:14:54 PM CST","You had a dream all your teeth fell out"
"2020/12/24 11:15:45 PM CST","You saw a zebra pooping in your back yard"
"2020/12/24 11:16:11 PM CST","Aldrin could fly"
"2020/12/24 11:16:42 PM CST","Your spaghetti turned into worms during supper"
"2020/12/24 11:17:11 PM CST","Your Pet started talking to you "
